dateres,mpnumber,rec_acres,new_units,parcelct,shape_area,pet_no,dev_type,desc_lpd,objectid,unit_price,petitioner,rehab_unit,netarea,orig_fid,nezname,inactive,gen_bound,Shape__Area,Shape__Length
1999/09/08 00:00:00+00,1970/01/01 00:00:00+00,28.67,54,178,31.43,,new,54 houses (new),22,127900,New Hope CDC,,23.25,1,Longacre,,"n-Pembroke, e-Evergreen, s-Vassar, w-Stout",233331.32421875,1944.83706824537
1999/11/19 00:00:00+00,1970/01/01 00:00:00+00,0.72,16,17,1.25,,new,16 townhomes (new),23,"$130,000-$155,000",Bonnie Bridge Villa LLC (Dwight Belyue of Don Barden Companies),42,0.72,1,Bonnie Bridge Villa,1,west side of Trumbull between Lysander and Canfield,9279.4921875,398.417749470975
1999/11/19 00:00:00+00,1970/01/01 00:00:00+00,25.76,11,123,28.5,,mix,11 houses (new) & 5 houses (rehab),24,80000,Corktown Consumer Housing Cooperative,5,18.86,1,Corktown 1999 (C),,"n-south side of Michigan, e-Rosa Parks & Vermont, s-Marantette & Bagley, w-14th in general",210883.34375,2185.16960073198
2000/01/12 00:00:00+00,1970/01/01 00:00:00+00,36.87,168,239,40.08,,mix,168 townhomes (new) & 42 condos (rehab),25,"$139,000-$170,000","New Center Council, Inc./Crosswinds",42,25.01,1,Woodward-Seward,,"n-north side of seward, e-Woodward, s-Bethune & south side Seward, w-west of 3rd",297010.1640625,3115.58598083866
2000/11/09 00:00:00+00,1970/01/01 00:00:00+00,1.21,,25,1.43,,rehab,48 condos (rehab),26,"$175,000-$500,000",Rivertown Business Assoc./Farbman Group,48,0,1,200 River Place,,"200 River Place/n-Jefferson, e-Adair, s-Wight/River/Atwater, w-Chene",10607.8359375,412.956764190079
2000/11/15 00:00:00+00,1970/01/01 00:00:00+00,1,8,38,1.12,,mix,32 lofts (rehab) & 8 lofts (new),27,"$165,000-$300,000",Grinnell Place Lofts LLC,32,1.12,1,Grinnell Place Lofts,,"n-Beech, e-Brooklyn, s-Michigan, w-8th",8324.37109375,374.602944424511
2000/11/15 00:00:00+00,1970/01/01 00:00:00+00,87.38,4,729,94.52,,mix,2 houses & 2 townhomes (new) & rehab,28,"$160,000-$170,000",West Village Assoc./Steve Flum,,64.11,1,West Village,1,"n-Charlevoix, e-Maxwell, s-w-Shipherd & Sheridan",700147.578125,5429.55770510353
2001/01/10 00:00:00+00,1970/01/01 00:00:00+00,13.18,16,61,14.31,,new,14 single & 2 family houses (new),29,"$65,000 & $75,000-$80,000",Central Detroit Christian CDC,,8.93,1,Piety Hill,,north & south sides of Pingree between Woodward and 3rd,106069.546875,1784.32128905916
2001/01/24 00:00:00+00,1970/01/01 00:00:00+00,1.24,20,14,1.29,,new,20 houses (new),30,"$75,000",West Detroit Inter-Faith Community Organization,,1.29,1,Woodmont Estates,1,"n-Ellis, e-Asbury Park, s-Joy, w-Grandmont",9587.42578125,691.554406323125
2001/02/21 00:00:00+00,1970/01/01 00:00:00+00,129,300,988,136.27,,new,300 houses & townhouses (new),31,"$90,000-$140,000",Shorebank Enterprise,,89.82,1,Chalmers Heights,1,"n-E. Warren, e-Alter, e-Mack, w-alley between Chalmers & Marlborbough",1010386.58984375,4439.19067209579
